sourceENS,source,claimable,txs,last_tx_days_ago,first_tx_days_ago,nft_trades,dex_trades,dex_volume_usd,funding_sources,times_cex_funded,processed,name,socials
pdtwallet.eth,0x9413d8aeedbf45b7a890fa7f19055498d49ffb8c,1190,574,212,669,1059,14,5113249.557,1,0,True,ParagonsDAO_purchases,https://twitter.com/@ParagonsDAO
<nil>,0x81a76401a46fa740c911e374324e4046b84cfa33,1190,401,191,808,607,4,61990.65204,13,0,True,guiltyNFT,https://twitter.com/guiltyNFT
<nil>,0xc4b41215c649400c8a77d059aa7d02094dd04bfd,1190,77,266,631,395,0,0.0,1,0,True,,
vibersanonymous.eth,0x4f15c429e349a95aaee0ff2507c4efa85273d17b,1600,1120,217,895,336,23,70248.9515,11,8,True,ChillyBrutha,
danky.eth,0x74ec638d8e82ab4e7aacac77ef47a49e735ca7dd,1237,3237,444,1758,285,234,87396.86367,47,6,True,latigid,
zacharycox.eth,0xc33598ed9e57bf9e2c4ea29cf5fdb714e72e1f5b,1462,751,242,810,275,42,113261.0641,24,4,True,ZC134,
<nil>,0xcc0bd8e425de49819c67987619bd55f9d9eef5ae,1462,501,240,862,266,114,3218571.317,5,0,True,,
kingboomer.eth,0x84dbe4ec9a0f6ea4de6ba9b3db863a90e0e2e2f1,1462,1543,441,902,249,49,559454.9262,31,22,True,NFTboomer,
<nil>,0x1b49ccdfae84cf9cdef09a656e97f029f86f038e,1190,81,266,631,249,0,0.0,0,0,True,,
mrlambo.eth,0xec85985e633b24d90492dc2838700921313fdda4,1872,875,234,936,241,45,45578.62045,15,130,True,MrLambo,
nakedcowboy.eth,0x4f647756dfae6abf390440b0b801ab584e6cd878,1872,1137,284,1005,236,220,1225114.828,28,38,True,,https://twitter.com/0xGCowboy
critterz.eth,0x72847c8bdc54b338e787352bcec33ba90cd7afe0,1190,509,191,675,230,17,37713.9453,6,13,True,CritterzDeployer,https://twitter.com/CritterzVerse
<nil>,0x211913572495504fd51f89b72da1e12c84ababf0,1190,605,440,887,217,23,33500.27305,25,32,True,,
<nil>,0xd7a22c594a8874e53b9630922d13b014e83032bf,1190,181,266,636,209,0,0.0,0,0,True,,
<nil>,0xafca8e2986d7f2df9e5bd06c7fde76988fbaf816,1186,504,560,814,204,137,8582157.438,10,3,True,,
<nil>,0xd7d870220a28d01f2fe914f06f0418c8bbe7b261,1600,918,203,737,198,315,23261061.28,6,0,True,MiracleLedger,https://twitter.com/@Mir_cleM_n
artsycollector.eth,0x3d16356a3ce656b9505ee167fa828b7d03a726de,1600,930,246,900,194,0,0.0,10,12,True,,
warmus.eth,0x558a3ee80040c128be08a3ae350b1b2efc31ea93,1600,2047,263,863,186,1063,1411699.927,82,7,True,war_mus,https://twitter.com/war_mus_
0xac88.eth,0x4da62fc8ae2842e6bc0ba6e9ee20386bbbb7ac88,1462,269,282,785,185,48,490010.8113,2,1,True,,
zoink.eth,0x8e7644918b3e280fb3b599ca381a4efcb7ade201,1190,181,263,1944,185,4,344067.7619,16,2,True,zoink,
sequoia7.eth,0x6a683b1be8765bf59039507f5564f7b4c2b241a3,1600,1076,237,1236,166,461,2032351.791,19,2,True,sequoia7,
